Input X,Input Y,Rounding mode,Overflow,Underflow,Output Z,Expected Z
10011011010001100001001100001001,1000111111000111101111111111,1,0,1,10000000000000000000000000000000,10000000000000000000000000000000
101001001000000110110110011111,10001010001100000110001001001011,11,0,1,10000000000000000000000000000000,10000000000000000000000000000000
100000111101101011010110100100,11100110111001001011011001100,0,0,1,0,0
10101101010110000000111001011001,1110110110111000011110010011,1,0,1,10000000000000000000000000000000,10000000000000000000000000000000
110011101000110011110011,10000010001011000110111111001,1,0,1,0,0
10001111110110101111001011000111,10010010100000100001100011110101,1,0,1,0,0
10001100111000111111000100010101,100111101111111101110111000100,10,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10100100001110111110101000111000,10010100011010101110010101111011,10,0,1,0,0
11011000010101000101000000111,100001000011011011110101110111,11,0,1,0,0
10011011101100111011111101011100,11111001000011110000111110111,10,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10101111100001000000110110000111,10000001000111101011011111101000,10,0,1,0,0
1100111011100000111101100101,100011100110001100100010101111,10,0,1,0,0
100000011111011010001111010111,10000011110110010110000101100100,100,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10001011111000101110111010000010,10001110101101010010110101000010,100,0,1,0,0
11001010001011010110010101000,10001111000010100100101111010,10,0,1,0,0
1001101010000001101010000111,11011101001100010100101101011,11,0,1,0,0
101000101110101100111111001100,10010010000010011111001101001111,0,0,1,10000000000000000000000000000000,10000000000000000000000000000000
110101101100011111101100101,10010111101110010111101111010111,100,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10010000011110010100101010001,11011011100101100110010000111,100,0,1,0,0
10000110001100011100010111000,1101110110100010000101001011,11,0,1,0,0
10001011110000010011000110001110,10011110110001001000110110100100,0,0,1,0,0
10001000000000100111010011101101,10100111111011101110000111000,1,0,1,10000000000000000000000000000000,10000000000000000000000000000000
100010110000010101000111010001,10001110000001010010001011010011,0,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10000100010001110000000111100010,10000100111100011011010100111001,0,0,1,0,0
10100011100000000101101101010110,10010010011110010101111000001000,11,0,1,0,0
10010111000000101011110011010111,100000010010101011101011101110,1,0,1,10000000000000000000000000000000,10000000000000000000000000000000
11101010000111000100100010,10000101101111001001001011111,10,0,1,0,0
10100000100000011101010001101110,10000100101011101101100010101000,11,0,1,0,0
1100000111100101101001001110,10000100000110110101000100001101,100,0,1,10000000000000000000000000000000,10000000000000000000000000000000
100001101011100000001011111001,10011101010001110000101100011000,11,0,1,10000000000000000000000000000000,10000000000000000000000000000000
11110011100000001010111111,10111011101011001001101111101100,100,0,1,10000000000000000000000000000000,10000000000000000000000000000000
11001111101111101101110001010,10000110010011111001011010010,100,0,1,0,0
10110111111000010110111101101101,10000011010000001100001111111010,10,0,1,0,0
101110110000110000100010010101,100000111000001101111010001,11,0,1,0,0
10011111101001001011000011111111,11111010111110000000010100100,10,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10000001100011100101000000000100,1011111000001010111101001100,11,0,1,10000000000000000000000000000000,10000000000000000000000000000000
1111010001011110100000010011,11001010100011010101110010010,1,0,1,0,0
11010010110011001111000011,10011011001100011111100100111010,11,0,1,10000000000000000000000000000000,10000000000000000000000000000000
1000110001100010101111000111,1000101000001010000110011011,100,0,1,0,0
101111111110000001111111110110,1000010110110111110101111010,11,0,1,0,0
1100100001001011001000,11111111101111101110001111010,10,0,1,0,0
100001001000010100000011111001,101100101000011010110000011,11,0,1,0,0
10100000011011001100111011100100,10010011100011010111100111101010,100,0,1,0,0
110010001000010000101101101,10101101011010010001101010000,100,0,1,0,0
10011110110010101111100110010101,11111010100101011001101001,1,0,1,10000000000000000000000000000000,10000000000000000000000000000000
1110110100111010111110011001,1100010010111100011100011110,100,0,1,0,0
10010001011110011010111000111,100010011001001110101110001010,0,0,1,0,0
1111101101000010111011010101,111111110111011011010011100,11,0,1,0,0
10010010100110010110000100011110,10001011101011011111010000100111,1,0,1,0,0
1011101111111111000011010100,1111110111100111110010101001,11,0,1,0,0
10001100111101010001011010101110,10000010111011110011111101100,10,0,1,10000000000000000000000000000000,10000000000000000000000000000000
11011000100011010111100111100,11110111011111000010100110111,10,0,1,0,0
101001001101101111011000000,10110001100100011100110101111111,10,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10000111010110010111101011,10100000011100000000001101010010,100,0,1,10000000000000000000000000000000,10000000000000000000000000000000
1111010000010000100011100100,10101111000011001111101110100010,100,0,1,10000000000000000000000000000000,10000000000000000000000000000000
110010101100100000011110100111,100000011011011000010000001,10,0,1,0,0
100000010111111101100011100000,10011010010110110011011111010010,0,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10010011001111000111010100000101,101001100101101011101111101010,11,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10001000100010110011100111011111,10010011111101000010010100001001,1,0,1,0,0
10000110001101100101010100110011,10100100011000110011010100110101,11,0,1,0,0
11111101110110010001110110,1011011001001010100111100101,0,0,1,0,0
10010100101001000010011110100000,10110010010000100111111010,100,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10011101100001011110100110101010,11100000001110110110011100100,10,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10000011001101000110001011111100,101010011111111110100011101,11,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10100111101011010010010100001010,10000110110001110111101000001000,10,0,1,0,0
10000110100111100110100101000010,101111011010100000010101000110,0,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10010011100101111100111111011,10010111001111011111110001110000,10,0,1,10000000000000000000000000000000,10000000000000000000000000000000
11001001001101010111101011000,110100101001110111110101000,1,0,1,0,0
11100011000010001110100111100,10001010110010110010110011010100,10,0,1,10000000000000000000000000000000,10000000000000000000000000000000
10011000110100010010001101010110,10001000101001000001000100100000,10,0,1,0,0
10010010001000010110001001110100,10011100100001111000101000101111,11,0,1,0,0
10000101011000101001011011101011,10100011011101000101001101001010,100,0,1,0,0
