Input X,Input Y,Rounding mode,Overflow,Underflow,Output Z,Expected Z
55555555,aaaaaaaa,1,0,0,c08e38e2,c08e38e2
ffffffff,7fc00000,4,1,0,ffc00000,ffc00000
55555555,aaaaaaaa,1,0,0,c08e38e2,c08e38e2
ffc00000,aaaaaaaa,3,0,0,7fc00000,7fc00000
80000000,ffc00000,2,0,1,7fc00000,7fc00000
ffc00000,7fc00000,2,1,0,ffc00000,ffc00000
ffffffff,7fffffff,3,1,0,ff800000,ff800000
0,7fc00000,2,0,1,7fc00000,7fc00000
ffffffff,80000000,4,0,1,0,0
ffffffff,0,0,0,1,80000000,80000000
ffc00000,7fffffff,0,1,0,ffc00000,ffc00000
ffffffff,80000000,0,0,1,0,0
ffffffff,ffc00000,0,1,0,7fc00000,7fc00000
0,ffffffff,1,0,1,80000000,80000000
ffffffff,ffc00000,1,1,0,7fc00000,7fc00000
7fc00000,ffffffff,0,1,0,ffc00000,ffc00000
7fffffff,0,2,0,1,0,0
6446331b,e93b5ed4,3,1,0,ff800000,ff800000
ec774f67,5a02f592,2,1,0,ff800000,ff800000
ea343231,799568b4,2,1,0,ff800000,ff800000
fc6ac3c6,45de4e2a,0,1,0,ff800000,ff800000
66e5cb9b,60ceb9e9,1,1,0,7f800000,7f800000
59085c44,f390ae5f,0,1,0,ff800000,ff800000
6d3dfbdc,622032fe,4,1,0,7f800000,7f800000
7d43b54b,74a57d3c,2,1,0,7f800000,7f800000
7be04718,eaa2a522,4,1,0,ff800000,ff800000
52cad5a5,76d8826e,3,1,0,7f800000,7f800000
834ceb44,98c41488,4,0,1,0,0
1efac84,8e916425,3,0,1,80000000,80000000
16942ee0,1804408f,0,0,1,0,0
b3b6d44,32fc6e39,0,0,1,0,0
4d52b75,3254f818,2,0,1,0,0
2b9dd871,832ffe9,3,0,1,0,0
10b1a108,a8a28c9,3,0,1,0,0
a9629b4c,80189578,1,0,1,0,0
82899c78,bd86b2e,3,0,1,80000000,80000000
d58b3c4,a8ef99a7,0,0,1,80000000,80000000
8366edcf,b23cd8eb,3,0,1,0,0
8879bb6b,91d7d9da,1,0,1,0,0
5d3a9e5,87456211,4,0,1,80000000,80000000
922962ac,9e59b4a8,2,0,1,0,0
7fc00000,c3e0bdbd,1,1,0,ffc00000,ffc00000
7fc00000,d83397da,2,1,0,ffc00000,ffc00000
7fc00000,ebb01774,1,1,0,ffc00000,ffc00000
26394361,7fc00000,0,0,0,7fc00000,7fc00000
221c167d,7fc00000,4,0,0,7fc00000,7fc00000
4ec82291,7fc00000,1,1,0,7fc00000,7fc00000
ffc00000,56809e5,2,0,0,ffc00000,ffc00000
ffc00000,319ddba6,0,0,0,ffc00000,ffc00000
9f65c8c6,7fc00000,1,0,0,ffc00000,ffc00000
a83dc34c,ffc00000,4,0,0,7fc00000,7fc00000
3d438a11,ffc00000,1,0,0,ffc00000,ffc00000
8c48e090,ffc00000,3,0,0,7fc00000,7fc00000
40227d46,ffc00000,1,1,0,ffc00000,ffc00000
7fc00000,d6151d6d,0,1,0,ffc00000,ffc00000
4a082ed2,ffc00000,4,1,0,ffc00000,ffc00000
a6ac76c1,ffc00000,3,0,0,7fc00000,7fc00000
ffc00000,175a79dd,3,0,0,ffc00000,ffc00000
ffc00000,467df285,0,1,0,ffc00000,ffc00000
de5b188a,b19a9777,1,0,0,50844e64,50844e64
ae88894,4be3e97d,1,0,0,174f0531,174f0531
635821da,1d4e1bbb,2,0,0,412e02a6,412e02a6
c95c4d71,3b46eeb9,3,0,0,c52b3154,c52b3154
2e10a6a9,f2ba8769,3,0,0,e152cb34,e152cb34
c501668d,332c6e54,1,0,0,b8ae5156,b8ae5156
ae1acd3,c76665e3,1,0,0,92cb1b16,92cb1b16
f6e33493,8be5b324,1,0,0,434bdd05,434bdd05
cfebf2a1,373400c1,1,0,0,c7a5e74b,c7a5e74b
528cbdcc,288ad1e0,0,0,0,3b98a364,3b98a364
24953de4,4db1bb9b,2,0,0,32cf3a52,32cf3a52
2f400c2d,686044b7,0,0,0,58283e34,58283e34
f21a57e3,481f5913,3,0,0,fac02493,fac02493
b2d32cbc,c6e43dd6,1,0,0,3a3c46d9,3a3c46d9
a046e747,b52500d8,3,0,0,160033b9,160033b9
c6b7002c,33c5d565,0,0,0,bb0d6bad,bb0d6bad
6a68a9c8,c3972236,2,0,0,ee895b3d,ee895b3d
